[2021-04-13 15:18:29.047] [report] [2482] threads:0 alive:0 duration:0 tduration:0 nread:0.00 nwrite:0.00 tasks:0 etasks:0 stasks:0 estasks:0
[2021-04-13 15:18:59.072] [report] [2481] threads:1 alive:1 duration:30 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:19:29.102] [report] [2478] threads:1 alive:1 duration:60 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:19:59.128] [report] [2483] threads:1 alive:1 duration:90 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:20:29.157] [report] [2483] threads:1 alive:1 duration:120 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:20:59.185] [report] [2473] threads:1 alive:1 duration:150 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:21:29.213] [report] [2473] threads:1 alive:1 duration:180 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:21:59.243] [report] [2473] threads:1 alive:1 duration:210 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:22:29.273] [report] [2483] threads:1 alive:1 duration:240 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:22:59.303] [report] [2483] threads:1 alive:1 duration:270 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:23:29.331] [report] [2473] threads:1 alive:1 duration:300 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:23:59.360] [report] [2473] threads:1 alive:1 duration:330 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:24:29.389] [report] [2473] threads:1 alive:1 duration:360 tduration:0 nread:0.00 nwrite:0.00 tasks:1 etasks:0 stasks:0 estasks:0
[2021-04-13 15:24:59.392] [report] [2473] threads:1 alive:1 duration:390 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:25:29.420] [report] [2473] threads:1 alive:1 duration:420 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:25:59.448] [report] [2473] threads:1 alive:1 duration:450 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:26:29.476] [report] [2473] threads:1 alive:1 duration:480 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:26:59.507] [report] [2473] threads:1 alive:1 duration:510 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:27:29.537] [report] [2481] threads:1 alive:1 duration:540 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:27:59.567] [report] [2473] threads:1 alive:1 duration:571 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:28:29.597] [report] [2473] threads:1 alive:1 duration:601 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:28:59.624] [report] [2473] threads:1 alive:1 duration:631 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:29:29.653] [report] [2473] threads:1 alive:1 duration:661 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:29:59.682] [report] [2473] threads:1 alive:1 duration:691 tduration:0 nread:0.00 nwrite:0.00 tasks:3 etasks:2 stasks:0 estasks:0
[2021-04-13 15:30:29.697] [report] [2473] threads:1 alive:1 duration:721 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
[2021-04-13 15:30:59.724] [report] [2473] threads:1 alive:1 duration:751 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
[2021-04-13 15:31:29.752] [report] [2473] threads:1 alive:1 duration:781 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
[2021-04-13 15:31:59.780] [report] [2473] threads:1 alive:1 duration:811 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
[2021-04-13 15:32:29.808] [report] [2473] threads:1 alive:1 duration:841 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
[2021-04-13 15:32:59.833] [report] [2473] threads:1 alive:1 duration:871 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
[2021-04-13 15:33:29.862] [report] [2473] threads:1 alive:1 duration:901 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
[2021-04-13 15:33:59.888] [report] [2473] threads:1 alive:1 duration:931 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
[2021-04-13 15:34:29.917] [report] [2473] threads:1 alive:1 duration:961 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
[2021-04-13 15:34:59.932] [report] [2473] threads:1 alive:1 duration:991 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
[2021-04-13 15:35:29.960] [report] [2473] threads:1 alive:1 duration:1021 tduration:0 nread:0.00 nwrite:0.00 tasks:6 etasks:5 stasks:0 estasks:0
